latitude,longitude
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
41.750000,24.050000
41.750000,24.300000
41.750000,24.550000
41.750000,24.800000
41.750000,25.050000
41.750000,25.300000
41.750000,25.550000
41.750000,25.800000
41.750000,26.050000
41.750000,26.300000
41.750000,26.550000
41.500000,23.800000
41.500000,24.300000
41.500000,24.550000
41.500000,24.800000
41.500000,25.050000
41.500000,25.300000
41.500000,25.550000
41.500000,25.800000
41.500000,26.050000
41.500000,26.300000
41.500000,26.550000
41.250000,23.800000
41.250000,24.050000
41.250000,24.550000
41.250000,24.800000
41.250000,25.050000
41.250000,25.300000
41.250000,25.550000
41.250000,25.800000
41.250000,26.050000
41.250000,26.300000
41.250000,26.550000
41.000000,23.800000
41.000000,24.050000
41.000000,24.300000
41.000000,24.800000
41.000000,25.050000
41.000000,25.300000
41.000000,25.550000
41.000000,25.800000
41.000000,26.050000
41.000000,26.300000
41.000000,26.550000
40.750000,23.800000
40.750000,24.050000
40.750000,24.300000
40.750000,24.550000
40.750000,25.050000
40.750000,25.300000
40.750000,25.550000
40.750000,25.800000
40.750000,26.050000
40.750000,26.300000
40.750000,26.550000
